 , Total Packets:,Packets/s:,Throughput (mbps):,Packets Lost:,
 , 0 , 0 , 0.0 , 0 , 
 , 0 , 0 , 0.0 , 0 , 
 , 42127 , 14305 , 11.4442 , 4407 , 
 , 58890 , 16542 , 13.234224 , 7347 , 
 , 81700 , 22127 , 17.7022 , 7347 , 
 , 97132 , 14699 , 11.759312 , 10648 , 
 , 115835 , 18098 , 14.478575999999999 , 10648 , 
 , 138314 , 22597 , 18.078376 , 10703 , 
 , 156900 , 18030 , 14.424384 , 15829 , 
 , 179919 , 23058 , 18.446552 , 15829 , 
 , 203114 , 23169 , 18.535552 , 15829 , 
 , 226492 , 23314 , 18.651608 , 15829 , 
 , 245772 , 19380 , 15.504432000000001 , 15829 , 
 , 267916 , 21997 , 17.597624 , 15829 , 
 , 290305 , 22496 , 17.996936 , 15829 , 
 , 313392 , 23108 , 18.486808 , 15829 , 
 , 336434 , 22665 , 18.132151999999998 , 15829 , 
 , 359581 , 23155 , 18.524472000000003 , 15829 , 
 , 382649 , 23059 , 18.447456 , 15829 , 
 , 405358 , 22710 , 18.168464 , 15829 , 
 , 428567 , 23207 , 18.566304 , 15829 , 
 , 449824 , 21264 , 17.01172 , 15829 , 
 , 471037 , 21225 , 16.980752 , 15829 , 
 , 493368 , 22012 , 17.609616000000003 , 15829 , 
 , 515065 , 20580 , 16.4644 , 16188 , 
 , 538279 , 22970 , 18.376240000000003 , 16235 , 
 , 560795 , 21995 , 17.596448 , 17020 , 
 , 582771 , 22163 , 17.730528 , 17649 , 
 , 605599 , 22645 , 18.116 , 17649 , 
 , 628283 , 22612 , 18.089728 , 17649 , 
 , 649813 , 21671 , 17.33752 , 17649 , 
 , 672681 , 22662 , 18.130063999999997 , 17649 , 
 , 694519 , 21633 , 17.306552 , 18873 , 
 , 717032 , 22489 , 17.991304 , 18873 , 
 , 739776 , 22775 , 18.220304 , 18873 , 
 , 762548 , 22535 , 18.028783999999998 , 18873 , 
 , 784773 , 22126 , 17.701312 , 18873 , 
 , 807259 , 22322 , 17.857984000000002 , 18873 , 
 , 830325 , 23028 , 18.422584 , 18873 , 
 , 850598 , 19692 , 15.753712 , 22462 , 
 , 869880 , 19092 , 15.273792 , 25958 , 
 , 892481 , 22679 , 18.143392 , 25958 , 
 , 912634 , 19727 , 15.781888 , 25958 , 
 , 933952 , 21515 , 17.212528 , 25958 , 
 , 955035 , 20714 , 16.571488000000002 , 27498 , 
 , 973606 , 17743 , 14.195136 , 31903 , 
 , 996853 , 20194 , 16.155472 , 32445 , 
 , 1019361 , 21781 , 17.425248 , 33729 , 
 , 1031314 , 11941 , 9.553056 , 33729 , 
 , 1054002 , 22616 , 18.093296 , 33729 , 
 , 1077085 , 23063 , 18.450488 , 33729 , 
 , 1098822 , 21902 , 17.5218 , 33729 , 
 , 1121998 , 22665 , 18.13252 , 33729 , 
 , 1145233 , 22893 , 18.31496 , 33729 , 
 , 1167975 , 22741 , 18.193432 , 33729 , 
 , 1191512 , 23030 , 18.424191999999998 , 33831 , 
 , 1213950 , 22737 , 18.190383999999998 , 33831 , 
 , 1237862 , 23321 , 18.65752 , 33831 , 
 , 1260641 , 22941 , 18.35284 , 33831 , 
 , 1284356 , 23401 , 18.720816 , 33831 , 
 , 1307235 , 22799 , 18.239904 , 33831 , 
 , 1329820 , 22670 , 18.136191999999998 , 33831 , 
 , 1351934 , 22119 , 17.69596 , 33831 , 
 , 1372667 , 20618 , 16.494848 , 33831 , 
 , 1395116 , 22491 , 17.993272 , 33831 , 
 , 1416832 , 21543 , 17.23492 , 33831 , 
 , 1443189 , 22613 , 18.09116 , 34287 , 
 , 1464909 , 20095 , 16.076544 , 34287 , 
 , 1488160 , 22910 , 18.328456 , 34446 , 
 , 1513794 , 22778 , 18.222887999999998 , 34446 , 
 , 1539321 , 22255 , 17.8044 , 35034 , 
 , 1562180 , 22640 , 18.11216 , 35034 , 
 , 1585953 , 22967 , 18.373808 , 35083 , 
 , 1638855 , 22706 , 18.16488 , 35501 , 
 , 1664244 , 22398 , 17.918552 , 36164 , 
 , 1687822 , 23196 , 18.557024000000002 , 36319 , 
 , 1709175 , 20854 , 16.683799999999998 , 36418 , 
 , 1734058 , 23045 , 18.436096000000003 , 36418 , 
 , 1758150 , 22295 , 17.836312000000003 , 36959 , 
 , 1784069 , 22083 , 17.666464 , 37685 , 
 , 1809324 , 22423 , 17.93852 , 38537 , 
 , 1830957 , 18402 , 14.721992 , 42658 , 
 , 1861846 , 15806 , 12.6454 , 54202 , 
 , 1883044 , 15775 , 12.620248 , 63999 , 
 , 1906170 , 20170 , 16.136072 , 66159 , 
 , 1928857 , 21913 , 17.53056 , 66367 , 
 , 1945296 , 13561 , 10.849064 , 74986 , 
 , 1968600 , 15936 , 12.748992 , 80206 , 
 , 1989016 , 19793 , 15.835008 , 87054 , 
 , 2012257 , 20087 , 16.070232 , 88035 , 
 , 2035448 , 21252 , 17.001712 , 90976 , 
 , 2055072 , 18595 , 14.87624 , 92620 , 
 , 2080009 , 21007 , 16.806112000000002 , 93940 , 
 , 2102779 , 22086 , 17.669151999999997 , 95415 , 
 , 2122998 , 19512 , 15.610288 , 99551 , 
 , 2140458 , 17391 , 13.913528 , 105350 , 
 , 2163529 , 22876 , 18.301384 , 105350 , 
 , 2184514 , 21134 , 16.907687999999997 , 107428 , 
 , 2207625 , 22588 , 18.071168 , 107428 , 
 , 2230415 , 22004 , 17.603768 , 108287 , 
 , 2253564 , 22880 , 18.304336 , 108287 , 
 , 2275691 , 22170 , 17.736376 , 108287 , 
 , 2297868 , 22229 , 17.783208 , 108287 , 
 , 2320887 , 22937 , 18.3502 , 108287 , 
