 , Total Packets:,Packets/s:,Throughput (mbps):,Packets Lost:,
 ,0,0,0,0, 
 ,0,0,0,0, 
 ,34651,18529,14.82364,8831, 
 ,77740,19435,15.548096,11457, 
 ,94809,17180,13.744632,12326, 
 ,131166,17453,13.962408,17936, 
 ,155954,19638,15.711152,22055, 
 ,192599,20042,16.033712,27820, 
 ,217477,19929,15.943752,31970, 
 ,246734,18478,14.782696,34691, 
 ,283252,19630,15.704584,40521, 
 ,308255,19441,15.553056,44428, 
 ,332946,19427,15.542088,49316, 
 ,357646,19432,15.545792,53711, 
 ,382417,19589,15.671512,58006, 
 ,409242,18910,15.128304,61976, 
 ,429726,19622,15.698064,63748, 
 ,452749,19644,15.71596,66281, 
 ,478704,19884,15.907912,68822, 
 ,504224,20138,16.110752,72224, 
 ,529545,20193,16.155184,75496, 
 ,554075,19893,15.9146,78828, 
 ,579840,19728,15.782936,82376, 
 ,605119,19451,15.561512,85625, 
 ,630144,19755,15.804168,89380, 
 ,655369,20129,16.10348,92749, 
 ,681063,20300,16.240048,95587, 
 ,706977,20171,16.136952,97933, 
 ,732766,20333,16.266952,100778, 
 ,758004,19994,15.995472,104777, 
 ,783560,19969,15.975976,108544, 
 ,808939,19630,15.704568,112356, 
 ,842629,19259,15.407352,114586, 
 ,868869,20494,16.395368,116497, 
 ,894841,19802,15.842,119227, 
 ,919740,19809,15.847408,121096, 
 ,935289,15157,12.126064,123229, 
 ,961375,17466,13.97312,126053, 
 ,987337,20494,16.395232,129213, 
 ,1011363,20382,16.306384,131242, 
 ,1053031,20928,16.742736,134609, 
 ,1081586,20528,16.422712,137792, 
 ,1106944,20153,16.122552,140895, 
 ,1133634,18648,14.918432,147744, 
 ,1159193,20570,16.45628,151264, 
 ,1183844,20140,16.112632,155088, 
 ,1204682,18873,15.098408,158882, 
 ,1225226,18758,15.006984,162686, 
 ,1243784,13473,10.779032,168951, 
 ,1262555,14239,11.391584,180084, 
 ,1288280,19851,15.88132,186113, 
 ,1307279,17719,14.175856,188539, 
 ,1329874,20273,16.218784,192760, 
 ,1358680,20308,16.246968,196383, 
 ,1384275,20334,16.267408,199296, 
 ,1410059,20433,16.346544,202334, 
 ,1436179,19793,15.83512,205867, 
 ,1462249,20599,16.479528,209256, 
 ,1488243,20721,16.577144,212331, 
 ,1514224,20795,16.636144,215099, 
 ,1542759,19111,15.289168,218714, 
