 , Total Packets:,Packets/s:,Throughput (mbps):,Packets Lost:,
 , 0 , 0 , 0.0 , 0 , 
 , 41893 , 17873 , 14.298879999999999 , 189343 , 
 , 65081 , 18807 , 15.045648 , 281829 , 
 , 89048 , 18840 , 15.07268 , 376880 , 
 , 112797 , 17921 , 14.336928 , 477059 , 
 , 136407 , 18672 , 14.938296000000001 , 574170 , 
 , 160165 , 18764 , 15.011752 , 670222 , 
 , 182833 , 18792 , 15.034296 , 759750 , 
 , 207578 , 18945 , 15.156744 , 852946 , 
 , 230946 , 18779 , 15.023664 , 946868 , 
 , 254376 , 19045 , 15.236544 , 1037650 , 
 , 278105 , 18997 , 15.197768 , 1132298 , 
 , 296526 , 17718 , 14.174808 , 1204301 , 
 , 320465 , 17670 , 14.136768 , 1306183 , 
 , 344671 , 18972 , 15.177704 , 1403561 , 
 , 368400 , 19250 , 15.40016 , 1498049 , 
 , 391799 , 15888 , 12.71104 , 1617112 , 
 , 415707 , 17488 , 13.990920000000001 , 1716292 , 
 , 431621 , 16125 , 12.900015999999999 , 1784716 , 
 , 443255 , 11243 , 8.99512 , 1829979 , 
 , 466398 , 16300 , 13.040584 , 1915829 , 
 , 489308 , 18389 , 14.711688 , 2008840 , 
 , 512284 , 18760 , 15.008672 , 2101432 , 
 , 525181 , 12886 , 10.309136 , 2147739 , 
 , 545532 , 16205 , 12.964368 , 2222508 , 
 , 568541 , 19160 , 15.32824 , 2312558 , 
 , 592000 , 19504 , 15.603704 , 2401685 , 
 , 615309 , 18860 , 15.088232 , 2495084 , 
 , 638827 , 19520 , 15.616472 , 2583013 , 
 , 656664 , 16406 , 13.12516 , 2645556 , 
 , 687922 , 19611 , 15.689440000000001 , 2754241 , 
 , 712132 , 20053 , 16.042656 , 2844943 , 
 , 736012 , 19780 , 15.824376 , 2936588 , 
 , 759862 , 19198 , 15.359152 , 3031153 , 
 , 783532 , 19336 , 15.468968 , 3123452 , 
 , 807442 , 19598 , 15.678656 , 3215806 , 
 , 831292 , 19293 , 15.43492 , 3304419 , 
 , 854902 , 19123 , 15.298456 , 3392617 , 
 , 878361 , 19240 , 15.392335999999998 , 3485352 , 
 , 901731 , 17834 , 14.267976 , 3574552 , 
 , 924720 , 17685 , 14.148392 , 3675670 , 
 , 947489 , 16727 , 13.381848 , 3781917 , 
 , 970199 , 17458 , 13.966936 , 3880837 , 
 , 993629 , 18235 , 14.588048 , 3974808 , 
 , 1017329 , 18888 , 15.110552 , 4072942 , 
 , 1041629 , 19296 , 15.437520000000001 , 4168653 , 
