 , Total Packets:,Packets/s:,Throughput (mbps):,Packets Lost:,
 , 0 , 0 , 0.0 , 0 , 
 , 41854 , 24411 , 19.528872 , 179900 , 
 , 72571 , 25498 , 20.39868 , 260866 , 
 , 104937 , 26014 , 20.811799999999998 , 345022 , 
 , 135773 , 24518 , 19.615056 , 430975 , 
 , 167692 , 25925 , 20.740527999999998 , 517175 , 
 , 199432 , 26207 , 20.965975999999998 , 600823 , 
 , 231622 , 25988 , 20.790808000000002 , 684638 , 
 , 271115 , 25759 , 20.607208 , 783442 , 
 , 302793 , 25723 , 20.578576 , 867645 , 
 , 334742 , 25970 , 20.77676 , 949580 , 
 , 366301 , 25903 , 20.722616000000002 , 1033083 , 
 , 394498 , 24439 , 19.551728 , 1106590 , 
 , 426388 , 23969 , 19.175824000000002 , 1199155 , 
 , 458269 , 26482 , 21.186096000000003 , 1282609 , 
 , 490098 , 25690 , 20.552104 , 1367593 , 
 , 521568 , 25685 , 20.548024 , 1453569 , 
 , 552438 , 19766 , 15.813056000000001 , 1568421 , 
 , 576818 , 24370 , 19.496584 , 1639519 , 
 , 593782 , 14482 , 11.586312 , 1679452 , 
 , 625815 , 21551 , 17.240959999999998 , 1762579 , 
 , 658063 , 26079 , 20.863224 , 1846470 , 
 , 690372 , 26090 , 20.872288 , 1930320 , 
 , 710487 , 16635 , 13.308296 , 1981715 , 
 , 747816 , 24056 , 19.244936000000003 , 2074086 , 
 , 778805 , 25090 , 20.07272 , 2160185 , 
 , 810995 , 25623 , 20.498592000000002 , 2245556 , 
 , 842223 , 24848 , 19.87848 , 2331818 , 
 , 865419 , 19145 , 15.316752000000001 , 2417805 , 
 , 891020 , 20155 , 16.124352000000002 , 2486856 , 
 , 929074 , 25838 , 20.670512 , 2584300 , 
 , 961114 , 25572 , 20.458119999999997 , 2672514 , 
 , 992794 , 25403 , 20.322488 , 2759765 , 
 , 1024864 , 21707 , 17.365968000000002 , 2868345 , 
 , 1057084 , 25553 , 20.442912 , 2955007 , 
 , 1088313 , 25337 , 20.270272000000002 , 3037642 , 
 , 1119513 , 25572 , 20.458072 , 3116972 , 
 , 1151130 , 25010 , 20.008256000000003 , 3201272 , 
 , 1182720 , 24048 , 19.238992 , 3293235 , 
 , 1214178 , 24865 , 19.892288 , 3375666 , 
 , 1245258 , 25265 , 20.212168000000002 , 3460948 , 
 , 1276907 , 25623 , 20.498648 , 3544775 , 
 , 1307537 , 24913 , 19.93052 , 3630905 , 
 , 1338855 , 25339 , 20.271416000000002 , 3715963 , 
 , 1370685 , 25782 , 20.626032 , 3800743 , 
 , 1402301 , 25703 , 20.563128 , 3885337 , 
 , 1433378 , 25039 , 20.031727999999998 , 3971248 , 
 , 1464548 , 25191 , 20.153392 , 4057688 , 
 , 1495987 , 25562 , 20.450224 , 4141460 , 
 , 1527757 , 25780 , 20.624392 , 4226764 , 
 , 1556502 , 25572 , 20.45816 , 4304980 , 
 , 1591571 , 25839 , 20.671696 , 4398174 , 
 , 1623280 , 26125 , 20.900592 , 4482174 , 
 , 1652211 , 25057 , 20.045655999999997 , 4558843 , 
 , 1682946 , 24912 , 19.930128 , 4641120 , 
 , 1714180 , 24469 , 19.575295999999998 , 4724707 , 
 , 1746399 , 25211 , 20.169016 , 4805957 , 
 , 1778411 , 25557 , 20.445952000000002 , 4891383 , 
 , 1810330 , 26179 , 20.943312000000002 , 4973383 , 
 , 1842123 , 25323 , 20.258656 , 5055696 , 
 , 1873290 , 25407 , 20.32608 , 5140237 , 
 , 1908483 , 23495 , 18.796648 , 5233858 , 
 , 1935545 , 22712 , 18.170032 , 5302822 , 
 , 1967508 , 22393 , 17.91452 , 5379060 , 
 , 2000992 , 21872 , 17.498192 , 5464363 , 
