 , Total Packets:,Packets/s:,Throughput (mbps):,Packets Lost:,
 , 0 , 0 , 0.0 , 0 , 
 , 62992 , 33605 , 26.884383999999997 , 0 , 
 , 101569 , 38780 , 31.024568 , 0 , 
 , 142908 , 41372 , 33.097936000000004 , 959 , 
 , 186139 , 43202 , 34.56164 , 959 , 
 , 226145 , 39936 , 31.949080000000002 , 959 , 
 , 258071 , 31971 , 25.577368 , 983 , 
 , 295925 , 37878 , 30.302472 , 983 , 
 , 340173 , 44264 , 35.411392 , 983 , 
 , 383891 , 43679 , 34.943888 , 983 , 
 , 427631 , 43725 , 34.98056 , 1033 , 
 , 472257 , 44606 , 35.685128 , 1033 , 
 , 515460 , 43255 , 34.604096 , 1033 , 
 , 551577 , 36075 , 28.860088 , 1033 , 
 , 596896 , 45390 , 36.312424 , 1033 , 
 , 641881 , 44966 , 35.973392 , 1218 , 
 , 687283 , 45389 , 36.311792000000004 , 1218 , 
 , 733183 , 45100 , 36.080256 , 2833 , 
 , 774056 , 40858 , 32.686952 , 2833 , 
 , 817225 , 41153 , 32.923055999999995 , 2833 , 
 , 856206 , 39119 , 31.295736 , 2833 , 
 , 897450 , 40939 , 32.75188 , 2833 , 
 , 940364 , 43177 , 34.5418 , 4015 , 
 , 984797 , 43628 , 34.903127999999995 , 4231 , 
 , 1027444 , 42833 , 34.266864 , 5110 , 
 , 1071926 , 43612 , 34.890032 , 6200 , 
 , 1112785 , 40917 , 32.7342 , 10540 , 
 , 1152482 , 39193 , 31.35444 , 14911 , 
 , 1196401 , 43637 , 34.910168 , 14930 , 
 , 1239841 , 43790 , 35.032112 , 14930 , 
 , 1282564 , 42690 , 34.152576 , 15443 , 
 , 1326184 , 43612 , 34.889752 , 15443 , 
 , 1371385 , 44879 , 35.903512 , 15443 , 
 , 1415052 , 43978 , 35.182656 , 15443 , 
 , 1459140 , 44091 , 35.273360000000004 , 15679 , 
 , 1504010 , 43269 , 34.615632 , 17234 , 
 , 1548202 , 43841 , 35.073328000000004 , 17242 , 
 , 1590532 , 42741 , 34.193448 , 17242 , 
 , 1635080 , 43842 , 35.074056 , 17441 , 
 , 1676747 , 41367 , 33.094128 , 19647 , 
 , 1710926 , 33242 , 26.594352 , 30965 , 
 , 1748100 , 36865 , 29.492288000000002 , 39473 , 
 , 1791890 , 42822 , 34.258303999999995 , 43035 , 
 , 1834004 , 42308 , 33.846688 , 43744 , 
 , 1878915 , 44478 , 35.58268 , 44432 , 
 , 1922537 , 44122 , 35.298055999999995 , 45829 , 
 , 1960430 , 37604 , 30.083688 , 47180 , 
 , 2005396 , 44713 , 35.770688 , 47180 , 
 , 2049567 , 44479 , 35.583816 , 47180 , 
 , 2094518 , 45034 , 36.027376 , 47180 , 
 , 2139186 , 44708 , 35.76644 , 47180 , 
 , 2181126 , 41984 , 33.587464 , 48687 , 
 , 2218228 , 36178 , 28.942687999999997 , 53772 , 
 , 2260959 , 43060 , 34.448184 , 54992 , 
 , 2302631 , 38529 , 30.823392 , 61791 , 
 , 2347083 , 44587 , 35.670032 , 62973 , 
 , 2393427 , 45327 , 36.262088000000006 , 63025 , 
 , 2437463 , 43668 , 34.93496 , 63395 , 
 , 2477815 , 39760 , 31.808104 , 67288 , 
 , 2521297 , 42898 , 34.318552000000004 , 67716 , 
 , 2564717 , 42963 , 34.370672 , 67993 , 
 , 2598762 , 34089 , 27.271968 , 67993 , 
 , 2644823 , 45241 , 36.193336 , 67993 , 
 , 2684507 , 39491 , 31.593528 , 73564 , 
 , 2728446 , 44072 , 35.258136 , 73564 , 
 , 2769134 , 40798 , 32.63888 , 73564 , 
 , 2812796 , 42486 , 33.98912 , 74550 , 
 , 2854887 , 39675 , 31.740616000000003 , 79891 , 
 , 2896581 , 41935 , 33.548567999999996 , 81859 , 
 , 2942519 , 41616 , 33.293375999999995 , 86421 , 
 , 2987542 , 45009 , 36.00756 , 86421 , 
 , 3032850 , 45309 , 36.247448 , 86421 , 
 , 3073290 , 40409 , 32.327976 , 86421 , 
 , 3117193 , 42748 , 34.19856 , 86421 , 
 , 3161942 , 45204 , 36.163328 , 87016 , 
 , 3204637 , 42244 , 33.7956 , 87017 , 
 , 3244935 , 40819 , 32.655376 , 87017 , 
 , 3279775 , 34804 , 27.843456 , 98130 , 
 , 3323326 , 43607 , 34.886184 , 98130 , 
