 , Total Packets:,Packets/s:,Throughput (mbps):,Packets Lost:,
 ,0,0,0,0, 
 ,6700,5897,4.717712,0, 
 ,17019,10316,8.253208,0, 
 ,22110,5075,4.060128,0, 
 ,33120,11014,8.81124,0, 
 ,43199,10079,8.06384,0, 
 ,53199,9998,7.998432,0, 
 ,62789,9590,7.672696,0, 
 ,72780,9991,7.99296,0, 
 ,79400,6610,5.288688,0, 
 ,89348,9946,7.957288,0, 
 ,99089,9708,7.766456,0, 
 ,104400,5310,4.248328,0, 
 ,109040,4546,3.63712,0, 
 ,119699,10635,8.50872,0, 
 ,129440,9741,7.793048,0, 
 ,138690,9250,7.400192,0, 
 ,146979,8157,6.52636,0, 
 ,156220,9214,7.371856,0, 
 ,165650,9283,7.426648,0, 
 ,175639,9986,7.989576,0, 
 ,184720,9084,7.267368,0, 
 ,190520,5753,4.602864,0, 
 ,199470,8944,7.155904,0, 
 ,207470,7962,6.37008,0, 
 ,216860,9394,7.515416,0, 
 ,225378,8511,6.809304,0, 
 ,235949,10412,8.330144,0, 
 ,243008,7029,5.623656,0, 
 ,250738,7756,6.205336,0, 
 ,258899,8092,6.47408,0, 
 ,266389,7477,5.98168,0, 
 ,275220,8845,7.076248,0, 
 ,284850,9634,7.707864,0, 
 ,292348,6936,5.549368,0, 
 ,296258,3911,3.12936,0, 
 ,305570,9328,7.463176,0, 
 ,316239,10674,8.539928,0, 
 ,322629,6208,4.966424,0, 
 ,331620,9102,7.281968,0, 
 ,342219,10600,8.480208,0, 
 ,352429,10210,8.168272,0, 
 ,361010,8491,6.79332,0, 
 ,367970,6956,5.565392,0, 
 ,375860,7875,6.30056,0, 
 ,384140,8259,6.607368,0, 
 ,393570,9429,7.543816,0, 
 ,395810,2205,1.76444,0, 
 ,404360,8515,6.812752,0, 
 ,412949,8577,6.862112,0, 
 ,421258,8284,6.62784,0, 
 ,430210,8815,7.052624,0, 
 ,439970,9756,7.805552,0, 
 ,448539,7626,6.101344,0, 
 ,452360,3374,2.699256,0, 
 ,463978,9796,7.837536,0, 
 ,469289,3977,3.181752,0, 
 ,472249,2985,2.388688,0, 
 ,482800,8012,6.410152,0, 
 ,488980,6201,4.961336,0, 
 ,498869,9921,7.937176,0, 
 ,509047,10021,8.017488,0, 
 ,519060,9857,7.885736,0, 
 ,528689,9634,7.707392,0, 
 ,537069,8365,6.692552,0, 
 ,547129,10062,8.050128,0, 
 ,557139,9858,7.886512,0, 
 ,566050,8901,7.121096,0, 
 ,575168,9059,7.247488,0, 
 ,585799,10462,8.3696,0, 
 ,595879,9923,7.93916,0, 
 ,605249,9230,7.38432,0, 
 ,615180,9937,7.950216,0, 
 ,625419,10062,8.049696,0, 
 ,635069,9649,7.719992,0, 
 ,644709,9639,7.711832,0, 
 ,652669,7837,6.269704,0, 
 ,661489,8790,7.03216,0, 
 ,669008,7507,6.005776,0, 
 ,676330,7342,5.874384,0, 
 ,687329,10832,8.666096,0, 
 ,696850,9525,7.620688,0, 
 ,705269,8286,6.629512,0, 
 ,715060,9794,7.83592,0, 
 ,720519,4999,3.999448,0, 
 ,726250,4905,3.924728,0, 
 ,736168,9850,7.880264,0, 
 ,740489,3858,3.086744,0, 
 ,746550,6129,4.903552,0, 
 ,757490,10938,8.75108,0, 
 ,767600,10116,8.092952,0, 
 ,777499,9744,7.795896,0, 
 ,787489,9989,7.991384,0, 
 ,797449,9960,7.968568,0, 
 ,807399,9950,7.960512,0, 
 ,817539,10137,8.109944,0, 
 ,827559,10019,8.015336,0, 
 ,836669,9093,7.274736,0, 
 ,846730,10058,8.046448,0, 
 ,856790,10060,8.048504,0, 
 ,866969,10025,8.020224,0, 
 ,876649,9677,7.742016,0, 
 ,886420,9619,7.695328,0, 
 ,896409,9988,7.99072,0, 
 ,906269,9866,7.893096,0, 
 ,916169,9899,7.919904,0, 
 ,926179,10006,8.004888,0, 
 ,935780,9606,7.6848,0, 
 ,945959,10017,8.014152,0, 
 ,955599,9631,7.705424,0, 
 ,965719,9975,7.9806,0, 
 ,975759,10040,8.032096,0, 
 ,985610,9846,7.876928,0, 
 ,995630,10019,8.015928,0, 
 ,1005809,10027,8.02228,0, 
 ,1014759,8918,7.13488,0, 
 ,1024650,9926,7.941208,0, 
 ,1034380,9574,7.659472,0, 
 ,1044959,10420,8.33604,0, 
 ,1055029,10072,8.057808,0, 
 ,1065369,10336,8.269248,0, 
 ,1075729,10357,8.286296,0, 
 ,1085769,10044,8.035672,0, 
 ,1096059,10285,8.228576,0, 
 ,1106279,10222,8.177888,0, 
 ,1116640,10357,8.28572,0, 
 ,1127169,10372,8.298112,0, 
 ,1137200,10025,8.020752,0, 
 ,1147579,10216,8.173448,0, 
 ,1157080,9505,7.60456,0, 
 ,1167070,9988,7.990504,0, 
 ,1177029,9958,7.966496,0, 
 ,1186309,9276,7.42148,0, 
 ,1196479,10170,8.136448,0, 
 ,1206639,10164,8.131672,0, 
 ,1216809,10166,8.133384,0, 
 ,1227030,10222,8.177968,0, 
 ,1236270,9245,7.396648,0, 
 ,1246290,10013,8.010944,0, 
 ,1256500,10052,8.04188,0, 
 ,1266620,9964,7.97156,0, 
 ,1276560,9940,7.95204,0, 
 ,1286209,9500,7.600264,0, 
 ,1291549,5258,4.206568,0, 
 ,1302768,11213,8.97092,0, 
 ,1311909,9005,7.204656,0, 
 ,1321769,9863,7.891192,0, 
 ,1331120,9345,7.476568,0, 
 ,1340900,9780,7.824008,0, 
 ,1350840,9786,7.82956,0, 
 ,1360950,9954,7.963624,0, 
 ,1370789,9687,7.750152,0, 
 ,1380680,9891,7.913032,0, 
 ,1390480,9805,7.844552,0, 
 ,1399709,9209,7.367576,0, 
 ,1410110,10399,8.319552,0, 
 ,1418969,8720,6.976752,0, 
 ,1428449,9456,7.56548,0, 
 ,1438699,10252,8.202392,0, 
 ,1448889,10187,8.149832,0, 
 ,1459039,10150,8.120072,0, 
 ,1468980,9938,7.95056,0, 
 ,1479150,10019,8.015584,0, 
 ,1489509,10195,8.156312,0, 
 ,1499799,10289,8.23124,0, 
 ,1510070,10269,8.215912,0, 
 ,1520509,10238,8.19056,0, 
 ,1530559,10093,8.074496,0, 
 ,1540610,10046,8.03692,0, 
 ,1550949,10183,8.147056,0, 
 ,1560930,9979,7.983208,0, 
 ,1571020,10088,8.070608,0, 
 ,1581160,10143,8.114776,0, 
 ,1591089,9922,7.938168,0, 
 ,1601320,10235,8.18804,0, 
 ,1611620,10299,8.239592,0, 
 ,1621469,9828,7.863008,0, 
 ,1631220,9748,7.79844,0, 
 ,1637110,5893,4.7146,0, 
 ,1646420,9164,7.331992,0, 
 ,1655659,9237,7.389656,0, 
 ,1665780,10125,8.100072,0, 
 ,1675739,9958,7.966608,0, 
 ,1685919,10180,8.14412,0, 
 ,1696050,10129,8.103528,0, 
 ,1706219,10171,8.137312,0, 
 ,1714789,8567,6.853776,0, 
 ,1724869,10082,8.065856,0, 
 ,1735130,10102,8.081728,0, 
 ,1745120,9979,7.98368,0, 
 ,1755379,10257,8.205816,0, 
 ,1765570,10188,8.150664,0, 
 ,1775980,10254,8.203992,0, 
 ,1786299,10316,8.253448,0, 
 ,1795880,9571,7.657288,0, 
 ,1804840,8898,7.118856,0, 
 ,1814310,9452,7.562192,0, 
 ,1824159,9427,7.541752,0, 
 ,1834029,10012,8.009712,0, 
 ,1843750,9722,7.777656,0, 
 ,1849870,6059,4.847272,0, 
 ,1856280,6315,5.052296,0, 
 ,1865040,8735,6.988736,0, 
 ,1872560,7490,5.992272,0, 
 ,1879070,6508,5.207104,0, 
 ,1890509,11443,9.15452,0, 
 ,1898369,7852,6.28212,0, 
 ,1904590,6185,4.948504,0, 
 ,1913969,9443,7.555152,0, 
 ,1917840,3865,3.092504,0, 
 ,1928149,10318,8.254432,0, 
 ,1938180,10028,8.022408,0, 
 ,1948139,9953,7.96276,0, 
 ,1958290,10007,8.005968,0, 
 ,1968350,10054,8.043312,0, 
 ,1978510,10158,8.127088,0, 
 ,1985358,6446,5.157416,0, 
 ,1995110,9748,7.79884,0, 
 ,2005520,10415,8.332344,0, 
 ,2013539,8017,6.41432,0, 
 ,2019570,6030,4.824736,0, 
 ,2029250,9683,7.746832,0, 
 ,2039359,10107,8.086224,0, 
 ,2049600,10241,8.193016,0, 
 ,2059700,10095,8.076616,0, 
 ,2070250,10387,8.310168,0, 
 ,2080220,9815,7.852448,0, 
 ,2090279,10065,8.052312,0, 
 ,2100469,10190,8.15216,0, 
 ,2110230,9754,7.803968,0, 
 ,2120590,10200,8.160064,0, 
 ,2128558,7775,6.22068,0, 
 ,2135150,6654,5.323464,0, 
 ,2146469,11146,8.917232,0, 
 ,2156869,10401,8.321472,0, 
 ,2167119,10250,8.200592,0, 
 ,2176889,9771,7.816848,0, 
 ,2184110,7185,5.748168,0, 
 ,2189950,5815,4.652792,0, 
 ,2195370,5403,4.322576,0, 
 ,2200800,5364,4.291624,0, 
 ,2211480,10684,8.547448,0, 
 ,2221410,9928,7.942496,0, 
 ,2231310,9902,7.92176,0, 
 ,2240990,9680,7.744672,0, 
 ,2251199,10037,8.030088,0, 
 ,2260730,9544,7.635936,0, 
 ,2270909,10020,8.016368,0, 
 ,2280860,9950,7.960296,0, 
 ,2290789,9930,7.944576,0, 
 ,2300690,9901,7.921424,0, 
 ,2310490,9799,7.839904,0, 
 ,2320469,9820,7.856664,0, 
 ,2327908,7352,5.881808,0, 
 ,2338699,10919,8.735584,0, 
 ,2348380,9673,7.739128,0, 
 ,2357809,9292,7.433952,0, 
 ,2367949,10141,8.112896,0, 
 ,2378180,10233,8.186472,0, 
 ,2388200,9865,7.892512,0, 
 ,2397159,8817,7.0536,0, 
 ,2406440,9285,7.428648,0, 
 ,2416080,9485,7.588392,0, 
 ,2425900,9672,7.738344,0, 
 ,2435799,9898,7.91856,0, 
 ,2445489,9692,7.753648,0, 
 ,2453999,8486,6.789248,0, 
 ,2463970,9844,7.875752,0, 
 ,2473410,9440,7.552136,0, 
 ,2483010,9446,7.55704,0, 
 ,2492920,9757,7.80588,0, 
 ,2502869,9953,7.962944,0, 
 ,2513010,9979,7.983408,0, 
 ,2522890,9887,7.910272,0, 
 ,2532770,9879,7.903712,0, 
 ,2543160,10229,8.183856,0, 
 ,2552610,9441,7.552824,0, 
 ,2562879,10107,8.08596,0, 
 ,2572660,9783,7.826848,0, 
 ,2583019,10355,8.284784,0, 
 ,2593300,10284,8.227776,0, 
 ,2603330,10029,8.023984,0, 
 ,2613690,10359,8.287872,0, 
 ,2624200,10509,8.407928,0, 
 ,2634649,10284,8.227768,0, 
 ,2644890,10243,8.194528,0, 
 ,2654829,9939,7.951408,0, 
 ,2665160,10326,8.260856,0, 
 ,2675689,10369,8.295408,0, 
 ,2686049,10362,8.290136,0, 
 ,2696370,10322,8.258,0, 
 ,2706739,10207,8.166248,0, 
 ,2717139,10400,8.320264,0, 
 ,2727450,10312,8.24968,0, 
 ,2737889,10275,8.220152,0, 
 ,2748120,10234,8.187376,0, 
 ,2757280,9159,7.327904,0, 
 ,2767570,10290,8.232312,0, 
 ,2777639,9908,7.927144,0, 
 ,2787600,9964,7.971664,0, 
 ,2792540,4917,3.933784,0, 
 ,2800940,8350,6.680296,0, 
 ,2811829,10893,8.714696,0, 
 ,2821860,10030,8.024432,0, 
 ,2832150,10291,8.233024,0, 
 ,2842400,10250,8.200488,0, 
 ,2852210,9657,7.72616,0, 
 ,2862269,10055,8.04448,0, 
 ,2872330,10064,8.051688,0, 
 ,2880990,8660,6.928528,0, 
 ,2889940,8811,7.04904,0, 
 ,2898889,8807,7.046248,0, 
 ,2908799,9756,7.804952,0, 
 ,2918889,9939,7.95136,0, 
 ,2928849,9960,7.968536,0, 
 ,2938860,10012,8.009704,0, 
 ,2948400,9539,7.63172,0, 
 ,2958580,10019,8.015928,0, 
 ,2968540,9961,7.9694,0, 
 ,2973569,5014,4.011768,0, 
 ,2982950,9347,7.478336,0, 
 ,2993329,10383,8.307192,0, 
 ,3002549,9216,7.373352,0, 
 ,3010960,8414,6.731384,0, 
 ,3019729,8768,7.015128,0, 
 ,3028589,8720,6.976752,0, 
 ,3037660,9070,7.256352,0, 
 ,3047569,9912,7.92984,0, 
 ,3057420,9845,7.876296,0, 
 ,3067299,9731,7.784928,0, 
 ,3077340,10022,8.017632,0, 
 ,3087390,9909,7.927632,0, 
 ,3097340,9956,7.964848,0, 
 ,3107440,9944,7.955424,0, 
 ,3117460,10019,8.015928,0, 
 ,3127809,10345,8.276496,0, 
 ,3137319,9510,7.608336,0, 
 ,3147409,10090,8.072328,0, 
 ,3157660,10254,8.203424,0, 
 ,3168079,10255,8.204224,0, 
 ,3178110,10034,8.027408,0, 
 ,3187889,9624,7.699568,0, 
 ,3195560,7672,6.137728,0, 
 ,3205879,10318,8.254552,0, 
 ,3212830,6908,5.526752,0, 
 ,3219940,7089,5.671992,0, 
 ,3230099,9995,7.996248,0, 
 ,3240219,9967,7.97388,0, 
 ,3249420,9194,7.355776,0, 
 ,3259000,9578,7.662696,0, 
 ,3268500,9499,7.599408,0, 
 ,3278000,9491,7.592832,0, 
 ,3287830,9678,7.742552,0, 
 ,3297870,9879,7.903968,0, 
 ,3307880,9861,7.888832,0, 
 ,3316668,8777,7.022224,0, 
 ,3325330,8661,6.929496,0, 
 ,3334679,9346,7.477568,0, 
 ,3344130,9443,7.554976,0, 
 ,3352869,8737,6.98992,0, 
 ,3362520,9652,7.722368,0, 
 ,3369968,7443,5.955112,0, 
 ,3379980,9999,7.999392,0, 
 ,3389760,9780,7.824272,0, 
 ,3399869,10104,8.0832,0, 
 ,3410000,10135,8.10872,0, 
 ,3420050,9893,7.91448,0, 
 ,3429430,9363,7.490568,0, 
 ,3439320,9887,7.91012,0, 
 ,3449289,9966,7.973216,0, 
 ,3459000,9710,7.768424,0, 
 ,3469080,9925,7.940176,0, 
 ,3479219,10138,8.110752,0, 
 ,3488960,9743,7.794432,0, 
 ,3497799,8810,7.048384,0, 
 ,3507489,9545,7.636024,0, 
 ,3516499,9006,7.205168,0, 
 ,3526219,9718,7.774888,0, 
 ,3536300,10084,8.067384,0, 
 ,3546409,10105,8.084232,0, 
 ,3556270,9858,7.88704,0, 
 ,3565860,9595,7.676672,0, 
 ,3575910,10049,8.039936,0, 
 ,3586159,10088,8.070992,0, 
 ,3596299,10141,8.113536,0, 
 ,3606279,9976,7.981568,0, 
 ,3615779,9499,7.599584,0, 
 ,3624280,8504,6.803696,0, 
 ,3633940,9660,7.728184,0, 
 ,3643870,9769,7.81524,0, 
 ,3653799,9923,7.939152,0, 
 ,3663899,9952,7.96188,0, 
 ,3673879,9980,7.984632,0, 
 ,3683880,10005,8.004704,0, 
 ,3692869,8972,7.178192,0, 
 ,3702340,9475,7.580064,0, 
 ,3711919,9430,7.544648,0, 
 ,3720850,8930,7.1444,0, 
 ,3730690,9827,7.861696,0, 
 ,3740690,10000,8.000008,0, 
 ,3750700,9855,7.884048,0, 
 ,3759610,8910,7.128584,0, 
 ,3769230,9620,7.696024,0, 
 ,3778810,9579,7.663968,0, 
 ,3788770,9806,7.844968,0, 
 ,3798599,9669,7.735952,0, 
 ,3808500,9907,7.926368,0, 
 ,3817490,8923,7.139088,0, 
 ,3827338,9922,7.937664,0, 
 ,3837130,9792,7.833984,0, 
 ,3846889,9607,7.685848,0, 
 ,3856640,9753,7.80256,0, 
 ,3866190,9549,7.639664,0, 
 ,3876000,9804,7.8434,0, 
 ,3885870,9723,7.77872,0, 
 ,3895149,9264,7.41144,0, 
 ,3904780,9612,7.68988,0, 
 ,3914029,9248,7.398448,0, 
 ,3923770,9741,7.793088,0, 
 ,3933709,9939,7.951536,0, 
 ,3943589,9876,7.901248,0, 
 ,3952890,9161,7.329112,0, 
 ,3962869,9979,7.983952,0, 
 ,3972840,9968,7.974784,0, 
 ,3983060,10064,8.051424,0, 
 ,3992640,9427,7.54196,0, 
 ,4002660,10025,8.020272,0, 
 ,4012649,9985,7.988016,0, 
 ,4022789,9987,7.989616,0, 
 ,4032680,9891,7.912808,0, 
 ,4042660,9822,7.857664,0, 
 ,4052350,9695,7.756672,0, 
 ,4062270,9765,7.812136,0, 
 ,4072210,9788,7.830528,0, 
 ,4081939,9727,7.782216,0, 
 ,4091469,9527,7.622288,0, 
 ,4101130,9515,7.612304,0, 
 ,4110979,9850,7.880744,0, 
 ,4120870,9889,7.911752,0, 
 ,4130889,9861,7.889416,0, 
 ,4140439,9550,7.64068,0, 
 ,4149809,9369,7.495224,0, 
 ,4159549,9740,7.792008,0, 
 ,4169479,9931,7.945584,0, 
 ,4179360,9877,7.902192,0, 
 ,4188869,9362,7.489984,0, 
 ,4198889,9868,7.894824,0, 
 ,4207559,8658,6.927008,0, 
 ,4216850,9290,7.432664,0, 
 ,4226800,9790,7.83232,0, 
 ,4236560,9761,7.80896,0, 
 ,4246630,9920,7.936104,0, 
 ,4256539,9907,7.926336,0, 
 ,4266410,9872,7.897728,0, 
 ,4276389,9822,7.857688,0, 
 ,4285960,9568,7.654864,0, 
 ,4295689,9580,7.664192,0, 
 ,4305550,9866,7.893136,0, 
 ,4315620,9913,7.930944,0, 
 ,4325619,9999,7.999376,0, 
 ,4335420,9799,7.83976,0, 
 ,4345170,9752,7.801912,0, 
 ,4355199,10025,8.020672,0, 
 ,4365250,10052,8.041992,0, 
 ,4375269,10019,8.01552,0, 
 ,4384989,9719,7.775432,0, 
 ,4394979,9986,7.988888,0, 
 ,4404969,9994,7.995648,0, 
 ,4414950,9980,7.98408,0, 
 ,4424929,9978,7.982672,0, 
 ,4434860,9930,7.944424,0, 
 ,4444850,9992,7.994168,0, 
 ,4455140,10122,8.098296,0, 
 ,4465329,10194,8.155528,0, 
 ,4474649,9321,7.457192,0, 
 ,4484400,9736,7.789288,0, 
 ,4494379,9962,7.970032,0, 
 ,4504509,10132,8.105664,0, 
 ,4514479,9971,7.97708,0, 
 ,4524699,10217,8.17416,0, 
 ,4534599,9903,7.92312,0, 
 ,4544689,10086,8.068856,0, 
 ,4554769,10081,8.06496,0, 
 ,4564940,10174,8.139368,0, 
 ,4575209,10107,8.086056,0, 
 ,4585009,9796,7.836856,0, 
 ,4595089,10080,8.064304,0, 
 ,4605230,10138,8.110648,0, 
 ,4615330,10107,8.086032,0, 
 ,4625610,10123,8.098856,0, 
 ,4635810,10041,8.033352,0, 
 ,4645859,10047,8.038096,0, 
 ,4655840,9983,7.987128,0, 
 ,4665999,9998,7.998664,0, 
 ,4676019,10020,8.016392,0, 
 ,4685199,9159,7.32732,0, 
 ,4695280,10081,8.065536,0, 
 ,4705330,10053,8.042832,0, 
 ,4715240,9909,7.927608,0, 
 ,4725100,9860,7.888,0, 
