 , Total Packets:,Packets/s:,Throughput (mbps):,Packets Lost:,
 ,0,0,0,0, 
 ,89736,54455,43.564224,986, 
 ,171730,65709,52.567536,12628, 
 ,269675,65592,52.473704,29720, 
 ,349123,71292,57.034352,39551, 
 ,418092,68045,54.436328,53230, 
 ,461013,41583,33.266448,59451, 
 ,499287,37334,29.867896,62693, 
 ,606881,69852,55.88228,75419, 
 ,685485,71623,57.298848,85959, 
 ,763808,71084,56.867208,96956, 
 ,839334,69054,55.243288,110442, 
 ,910850,67329,53.863512,125350, 
 ,983854,67240,53.792088,139909, 
 ,1056805,66788,53.431032,154414, 
 ,1129591,67231,53.784976,169228, 
 ,1201003,64845,51.876624,183862, 
 ,1275279,67139,53.711768,197345, 
 ,1348835,66125,52.9,212924, 
 ,1421231,67517,54.01396,226943, 
 ,1494328,68339,54.671736,242434, 
 ,1571990,70231,56.1852,254907, 
 ,1651131,70294,56.235448,266408, 
 ,1725695,66059,52.84764,283983, 
 ,1797950,67175,53.740112,300615, 
 ,1870589,68534,54.82752,314489, 
 ,1943149,69207,55.365744,327696, 
 ,2016277,68918,55.134768,341498, 
 ,2089320,67906,54.325288,355337, 
 ,2163565,70511,56.409136,366256, 
 ,2236338,68663,54.930424,380211, 
 ,2305319,67995,54.39648,393568, 
 ,2378866,66709,53.367624,407302, 
 ,2451867,69169,55.335592,420515, 
 ,2524244,68169,54.53596,433974, 
 ,2597454,68285,54.628416,445043, 
 ,2670119,63489,50.79128,454143, 
 ,2713280,38015,30.412304,457960, 
 ,2784937,59632,47.706088,467595, 
 ,2858662,69315,55.452496,474333, 
 ,2932686,69700,55.760328,481209, 
 ,3005243,67275,53.820672,488532, 
 ,3078169,69810,55.848344,495369, 
 ,3151418,69832,55.866064,502325, 
 ,3224671,68925,55.1402,510468, 
 ,3298721,68746,54.997288,519712, 
 ,3369809,67005,53.60424,531906, 
 ,3443474,66486,53.189304,541445, 
 ,3516203,68144,54.5156,550544, 
 ,3586609,66080,52.8646,565035, 
 ,3660623,68072,54.458096,576697, 
 ,3733936,68893,55.115144,590381, 
 ,3837653,60428,48.342824,613077, 
 ,3920420,48809,39.047984,645622, 
 ,4003549,50173,40.138864,684988, 
 ,4074024,48116,38.49344,742753, 
 ,4155952,49726,39.781584,779240, 
 ,4217224,46956,37.565264,820742, 
 ,4280992,58161,46.529512,843287, 
 ,4362590,56814,45.45172,871550, 
 ,4471236,66860,53.488248,891677, 
 ,4552055,71840,57.472664,897995, 
 ,4624800,71902,57.522352,903332, 
 ,4703402,49623,39.6986,925423, 
 ,4771932,68692,54.954184,931679, 
 ,4876145,70313,56.25104,940401, 
 ,4957620,71493,57.194552,944336, 
 ,5000511,41935,33.548232,981641, 
 ,5081840,71045,56.836112,988739, 
 ,5162117,71260,57.008024,994783, 
 ,5242235,70757,56.60604,1003094, 
 ,5322209,70120,56.096608,1011485, 
 ,5403597,72563,58.050728,1017736, 
 ,5484415,72247,57.798248,1024819, 
 ,5565294,71305,57.044464,1031121, 
 ,5665004,70157,56.125912,1039192, 
 ,5746810,73663,58.931192,1043454, 
 ,5828289,72668,58.135128,1048779, 
 ,5908258,71095,56.876648,1054942, 
 ,5989676,72912,58.329656,1059867, 
 ,6067753,73386,58.709528,1064342, 
 ,6149768,61774,49.4192,1070634, 
 ,6230243,71894,57.515624,1075047, 
 ,6314705,65068,52.054496,1088409, 
 ,6395135,69350,55.480632,1096388, 
 ,6477695,70600,56.480384,1104001, 
 ,6560374,71947,57.557712,1110137, 
 ,6641583,64480,51.584152,1127848, 
 ,6722703,67982,54.385824,1137707, 
 ,6804542,71043,56.834512,1143002, 
 ,6886259,73107,58.485784,1151294, 
 ,6967499,72466,57.973288,1160046, 
 ,7049751,72743,58.19488,1169696, 
 ,7131470,72749,58.199904,1177196, 
 ,7213369,71274,57.01952,1188236, 
 ,7295059,72990,58.392176,1196768, 
 ,7376748,73341,58.67308,1205143, 
 ,7455383,67104,53.683736,1218898, 
 ,7531372,62171,49.737368,1232926, 
 ,7607220,62444,49.955992,1260563, 
 ,7682640,66871,53.496848,1276292, 
 ,7758685,67996,54.39692,1291192, 
 ,7834971,63002,50.401824,1313180, 
 ,7905794,51366,41.093464,1325446, 
 ,7995757,73023,58.418952,1332650, 
 ,8076695,71467,57.174288,1342347, 
 ,8158111,72596,58.076968,1352319, 
 ,8231298,72559,58.0476,1361331, 
 ,8320985,71942,57.554104,1368899, 
 ,8402764,73220,58.576376,1378405, 
 ,8483881,72212,57.77024,1388857, 
 ,8565119,69637,55.70976,1401823, 
 ,8638429,67709,54.167928,1412979, 
 ,8667397,25378,20.302544,1425405, 
 ,8704055,36910,29.52852,1427545, 
 ,8750328,41025,32.820256,1427749, 
 ,8783599,33370,26.696296,1427749, 
 ,8828376,44772,35.8178,1427749, 
 ,8861735,33301,26.641,1427749, 
 ,8903977,41596,33.27684,1428709, 
 ,8976531,65442,52.353712,1428709, 
 ,9041850,65218,52.174744,1433916, 
 ,9098609,50841,40.673344,1438645, 
 ,9162394,60454,48.36332,1442622, 
 ,9250487,64776,51.821048,1449850, 
 ,9339797,74258,59.406432,1454641, 
 ,9410065,65188,52.150656,1468798, 
 ,9483977,64805,51.844056,1475402, 
 ,9553997,69542,55.63368,1476668, 
 ,9632395,76169,60.935664,1477268, 
 ,9714955,75652,60.522144,1479108, 
 ,9797512,74314,59.451744,1482648, 
 ,9877060,74215,59.372264,1485008, 
 ,9957938,73958,59.166432,1491065, 
 ,10025578,67253,53.802472,1493903, 
 ,10097235,71152,56.921792,1495470, 
 ,10182068,74094,59.275688,1499957, 
 ,10266132,73684,58.947808,1501262, 
 ,10358372,73389,58.711432,1504531, 
 ,10412279,50572,40.457848,1510797, 
 ,10492097,71523,57.218736,1512629, 
 ,10586636,74546,59.637496,1514701, 
 ,10670513,75255,60.204776,1516555, 
 ,10755236,71577,57.262,1519745, 
 ,10815146,57440,45.95276,1537133, 
 ,10923043,74834,59.867568,1540928, 
 ,10994153,64364,51.491528,1550361, 
 ,11079991,75023,60.018696,1551187, 
 ,11163421,75565,60.452792,1553391, 
 ,11246129,75423,60.338816,1556436, 
 ,11328629,75081,60.065248,1559876, 
 ,11411218,75225,60.180656,1564630, 
 ,11494737,75684,60.547224,1568679, 
 ,11578676,75918,60.735192,1571373, 
 ,11661322,74865,59.892304,1577024, 
 ,11744930,74392,59.513984,1579495, 
 ,11828298,76451,61.160808,1583529, 
 ,11911848,75344,60.275616,1587225, 
 ,12020670,70492,56.394352,1594232, 
 ,12104639,74417,59.534008,1597068, 
 ,12187857,75679,60.5432,1601755, 
 ,12271616,75890,60.71208,1603995, 
 ,12355435,73226,58.581496,1608798, 
 ,12438654,75899,60.7198,1612395, 
 ,12522054,75815,60.652224,1614865, 
 ,12605603,76139,60.911304,1616418, 
 ,12689063,75539,60.431288,1618824, 
 ,12770302,76565,61.252008,1620914, 
 ,12857872,74782,59.825936,1623743, 
 ,12942141,76291,61.033032,1627278, 
 ,13025066,73343,58.67452,1632011, 
 ,13109700,72287,57.829808,1636275, 
